title,url,content
"Setelah tangkap 1.900 orang, Turki bantah kritik asing",https://www.alinea.id/peristiwa/setelah-tangkap-1900-orang-turki-bantah-kritik-asing-b2nkB9RuV,"Turki mengatakan bahwa mereka menolak tudingan negatif asing atas penangkapan Wali Kota Istanbul Ekrem Imamoglu dan merebaknya protes menyusul penahanan hampir 1.900 orang sejak demonstrasi nasional dimulai delapan hari lalu. Setelah penangkapan dan pembebasan tujuh wartawan lokal yang meliput demonstrasi tersebut, BBC secara terpisah mengatakan bahwa korespondennya, Mark Lowen, telah dideportasi oleh pihak berwenang setelah dibawa dari hotelnya di Istanbul, tempat ia meliput protes tersebut. BBC mengatakan Lowen diberi tahu bahwa ia ""menjadi ancaman bagi ketertiban umum"". Pendeportasian ini  menimbulkan kekhawatiran kelompok-kelompok hak asasi manusia atas kebebasan pers di Turki. Imamoglu, pesaing politik terbesar Presiden Tayyip Erdogan yang mengunggulinya dalam beberapa jajak pendapat, dipenjara sambil menunggu persidangan atas tuduhan korupsi pada hari Minggu. Penangkapannya memicu protes antipemerintah terbesar dalam satu dekade dan menyebabkan penangkapan massal di seluruh negeri. Oposisi utama Imamoglu, Partai Rakyat Republik (CHP), partai oposisi lainnya, kelompok hak asasi manusia, dan kekuatan Barat semuanya mengatakan kasus terhadap wali kota — yang diberhentikan dari jabatannya karena kasus tersebut — merupakan upaya yang dipolitisasi untuk menghilangkan potensi ancaman elektoral terhadap Erdogan. Pemerintah Turki menyangkal adanya pengaruh atas peradilan dan mengatakan pengadilan bersifat independen. Berbicara kepada perwakilan media internasional di Istanbul, Menteri Kehakiman Yilmaz Tunc mengatakan Ankara telah meminta mitra-mitranya di Eropa untuk bertindak dengan ""akal sehat"", seraya menambahkan beratnya tuduhan terhadap Imamoglu mengharuskan penangkapannya. ""Kami tidak menginginkan penangkapan politisi mana pun, tetapi jika ada bukti pelanggaran, maka itu bisa terjadi,"" kata Tunc melalui seorang penerjemah. ""Jika kita melihat beratnya tuduhan, dan karena ada risiko bahwa bukti dapat disembunyikan, pengadilan telah membuat keputusan yang wajar,"" tambahnya.(reuters)"
Junta militer Myanmar bersiap untuk pemilu bulan Desember,https://www.alinea.id/peristiwa/junta-militer-myanmar-bersiap-untuk-pemilu-bulan-desember-b2nkB9RuS,"Pemimpin junta militer Myanmar berjanji pada hari Kamis (27/3) untuk menyelenggarakan pemilihan umum yang bebas dan adil pada bulan Desember. Pihak militer juga mendesak para penentang bersenjata dalam perang saudara yang meluas untuk meninggalkan kekerasan dan mengupayakan dialog. Min Aung Hlaing dalam pidatonya di parade tahunan hari angkatan bersenjata negara itu mengatakan bahwa militer berupaya menyelenggarakan pemilihan umum yang ""bermartabat"" dan berjanji untuk menyerahkan kekuasaan kepada partai pemenang. Ia memberi tahu ratusan tentara yang berkumpul di lapangan parade yang luas di ibu kota Naypyitaw bahwa mereka harus mendukung pemungutan suara multipartai yang bebas dan adil. ""Persiapan yang diperlukan sedang dilakukan untuk pemilihan umum,"" katanya. ""Kami berupaya menyelenggarakan pemilihan umum yang diinginkan rakyat, yaitu pemilihan umum demokratis yang bebas dan adil serta multipartai."" ""Kami akan menyerahkan kekuasaan kepada partai pemenang,"" tambahnya. Meskipun terjebak dalam perang saudara, ekonomi yang hancur, dan puluhan partai politik dilarang atau menolak untuk ambil bagian, militer bertekad untuk terus maju dengan pemilu, yang oleh para kritikus dicemooh sebagai tipuan untuk mempertahankan kekuasaan para jenderal melalui perwakilan. Sejak menggulingkan pemerintahan sipil terpilih dari peraih Nobel Aung San Suu Kyi pada tahun 2021, militer telah berjuang untuk menjalankan negara dan menangkis pemberontakan yang berakar pada pemberontakan yang dipimpin oleh pemuda, yang ditumpas oleh tentara dengan kekuatan mematikan. Min Aung Hlaing awal bulan ini mengatakan pemilu akan berlangsung pada bulan Desember tahun ini, atau Januari 2026, memberikan kerangka waktu untuk pertama kalinya selama kunjungan ke Belarus. Junta melakukan sensus tahun lalu sebagai bagian dari persiapan untuk membuat daftar pemilih, yang katanya survei lapangan lengkap hanya disusun di 145 dari 330 kotamadya di Myanmar. Dikatakan 53 partai telah mendaftar untuk mengikuti pemilu. Pihak yang menentang pemerintahan militer mengatakan mereka akan mengganggu pemungutan suara dan meminta negara lain untuk tidak mengakui hasilnya, dengan mengatakan bahwa pemungutan suara akan diadakan bertentangan dengan keinginan rakyat. Min Aung Hlaing mengatakan bahwa militer sedang berperang dalam ""perang yang adil"" melawan pemberontak yang bertekad menghancurkan negara, mendesak mereka untuk menghentikan kampanye bersenjata dan mengejar solusi politik melalui dialog. Beberapa analis mengatakan bahwa penyelenggaraan pemungutan suara dapat memicu lebih banyak kekerasan dan negara-negara tetangga Myanmar di blok Asia Tenggara Asean telah meminta junta untuk memprioritaskan perdamaian daripada pemilihan umum. Pertempuran telah menyebabkan lebih dari tiga juta orang mengungsi di Myanmar, dengan kerawanan pangan yang meluas dan lebih dari sepertiga penduduk membutuhkan bantuan kemanusiaan, menurut Perserikatan Bangsa-Bangsa.(asiaone)"
Protes UU TNI jangan direspons dengan pentungan dan borgol,https://www.alinea.id/peristiwa/protes-uu-tni-jangan-direspons-dengan-pentungan-dan-borgol-b2nkB9RuU,"Aksi mahasiswa di berbagai daerah menolak revisi Undang- Undang Nomor 34 Tahun 2004 tentang TNI direspons dengan tindakan represif oleh aparat keamanan. Tak hanya oleh personel Polri, kasus-kasus kekerasan terhadap peserta aksi juga dilaporkan dilakukan personel TNI yang diperbantukan mengawal protes masyarakat sipil. Dari 47 wilayah yang menggelar aksi demonstrasi menolak revisi UU TNI selama sepekan terakhir, Yayasan Lembaga Bantuan Hukum Indonesia (YLBHI) menemukan kasus kekerasan oleh aparat terjadi di 10 wilayah. Selain mahasiswa, ada juga jurnalis yang jadi korban tindakan represif aparat. Di Surabaya, protes menolak UU TNI digelar depan Kantor Grahadi, Surabaya, Senin (24/3). Protes berlangsung ricuh setelah kepolisian membubarkan paksa aksi demonstrasi menjelang malam. Pentungan dikeluarkan, meriam air ditembakkan. Polrestabes Surabaya sempat menangkap 25 orang usai kerusuhan. Mereka baru dibebaskan sehari setelah aksi demonstrasi. Seorang mahasiswa bernama Rizky Syahputera dilaporkan mengalami patah tulang di tangan kiri dan luka robek pada kaki kiri. Tindakan kekerasan aparat juga mewarnai aksi demonstrasi di Semarang, Jawa Tengah, Kamis (20/3) lalu. Seorang mahasiswa mengaku menjadi korban pemukulan oleh aparat keamanan ketika mengikuti demonstrasi menolak pengesahan UU TNI di depan kompleks Kantor Gubernur dan Dewan Perwakilan Rakyat Daerah Jawa Tengah.  Sosiolog dari Universitas Negeri Jakarta (UNJ) Rakhmat Hidayat melihat gelombang unjuk rasa yang masif terjadi di berbagai daerah mengindikasikan besarnya kemarahan publik terhadap keputusan DPR dan pemerintah mengesahkan revisi UU TNI menjadi UU. Apalagi, pengesahan RUU diwarnai beragam kontroversi, mulai dari pembahasan yang digelar di hotel mewah hingga minimnya partisipasi publik. ""Aksi di Jakarta, Bandung, Surabaya, Semarang, Malang, Purwokerto. Itu memang sangat masif. Ini menunjukkan aksi mereka mewakili kemarahan publik, mewakili kekecewaan publik terkait revisi pengesahan revisi UU TNI,"" kata Rakhmat kepada Alinea.id, Kamis (27/3). Setidaknya ada tiga poin utama yang disepakati DPR dan pemerintah dalam revisi UU TNI, yakni penambahan jabatan sipil untuk personel TNI aktif, perluasan keterlibatan TNI dalam operasi militer selain perang (OMSP), perpanjangan masa pensiun perwira TNI. Masyarakat sipil menilai poin-poin revisi mengindikasikan kembalinya era dwifungsi TNI. Rakhmat menilai demonstran yang geram dengan ulah wakil rakyat yang mengesahkan RUU TNI tidak seharusnya direpresi dengan tindakan brutal, bahkan sampai harus ditangkap. Tindakan represif dalam mengatasi demontrasi tidak sesuai dengan prinsip demokrasi.  ""Mereka kecewa karena tidak didengar dan hak mengeluarkan pendapat dan berunjuk rasa dijamin undang-undang. Oleh karena itu, jika ada wacana usulan investigasi, menurut saya, itu yang harus kita sampaikan karena banyak kasus penanganan di berbagai daerah ini di luar kewajaran,"" kata Rakhmat.  Koalisi masyarakat sipil, kata Rakhmat, perlu membentuk tim investigasi untuk menyelidiki kasus-kasus kekerasan oleh aparat terhadap peserta unjuk rasa menolak UU TNI di berbagai daerah. Salah satu fokus penyelidikan ialah mencari tahu apakah aksi represif aparat yang masif itu terstruktur dan dikomandoi oleh pejabat tertinggi dari Polri.    ""Batas-batas prosedural yang dilakukan oleh polisi itu banyak yang dilanggar. Harusnya tidak perlu diborgol, tidak perlu ditangkap, tidak perlu dibawa ke kantor kepolisian. Jadi, cukup dengan dialogis, cukup dengan melakukan blokade. Jadi, tidak perlu melakukan kekerasan dan seterusnya karena mahasiswa itu adalah anak- anak muda yang sedang mengalami puncak pemikiran dan puncak semangat,"" kata Rakhmat.  Evaluasi terhadap kerja personel Polri dalam menangani aksi unjuk rasa perlu dilakukan demi mencegah tindakan represif aparat tak terus berulang. ""Dalam jangka panjang, akan ada aksi yang eskalasinya mungkin akan meningkat,"" jelas Rakhmat. Analis politik dari Universitas Jember Muhammad Iqbal menilai aksi represif aparat dalam menangani demonstran penolak UU TNI sangat bernuansa militeristik. Dalam berbagai rekaman video, terlihat personel Brimob yang diperkuat dengan kendaraan taktis berhadapan dengan kelompok mahasiswa yang hanya ""bersenjatakan"" tali rafia. ""Akibatnya, kekerasan yang menimpa massa aksi di sejumlah kota saat demonstrasi menolak revisi UU TNI tak terhindarkan lagi. Mengapa kekerasan yang berujung jatuh korban luka dan penangkapan peserta aksi terus berulang terjadi? Tentu ada hierarki satu komando dari kepolisian,"" kata Iqbal kepada Alinea.id, Selasa (27/3). Aksi unjuk rasa dan mekanisme untuk penanganannya sudah dirinci dalam Undang- Undang Nomor 9 Tahun 1998 tentang Kemerdekaan Menyampaikan Pendapat di Muka Umum dan Peraturan Kapolri Nomor 7 Tahun 2012 tentang Pengamanan, dan Penanganan Perkara Penyampaian Pendapat di Muka Umum. Namun, menurut Iqbal, polisi di lapangan kerap punya tafsir sendiri menghadapi demonstran.  ""Sebut saja, misalnya, ketika massa demo sudah melewati waktu senja dan terus bertahan, maka polisi punya dalih untuk membubarkan. Apa pun alasan dan argumen peserta aksi sering tidak dihiraukan lagi. Harus bubar dan pada momen itulah penggunaan kekerasan oleh polisi kerap dilakukan untuk mendesak peserta aksi mundur dan bubar,"" kata Iqbal.  Iqbal sepakat perlu dibentuk tim investigasi independen untuk menyelidiki kasus- kasus represif aparat dalam menangani aksi unjuk rasa mahasiswa dan masyarakat sipil di berbagai daerah. Namun, ia pesimistis Polri bakal mengubah metode penanganan aksi unjuk rasa. ""Masyarakat sipil tak salah juga bila sudah tidak percaya lagi dengan keputusan pemerintah. Tragedi Kanjuruhan dan petaka di kilometer 50, bahkan sejumlah pelanggaran HAM berat yang lebih seperempat abad terjadi, misalnya, sampai hari ini masih belum jelas dan terkesan ditutupi. Rekomendasi KomnasHAM dan DPR RI kepada presiden agar membentuk pengadilan HAM (ad-hoc) saja masih tidak terjadi dan selalu dihindari,"" kata Iqbal.  Lebih jauh, Iqbal memprediksi gelombang aksi protes mahasiswa dan masyarakat sipil menolak UU TNI akan terus berlanjut. Apalagi, DPR saat ini juga tengah membahas revisi UU Polri dan KUHAP yang juga potensial bermasalah. ""Ketiga, revisi UU itu semuanya dilakukan dengan tidak ada partisipasi bermakna (meaningful participation) yang benar-benar serius melibatkan publik dan kelompok masyarakat sipil. Pemerintahan Prabowo tampak kuat sekali untuk mengelola negara secara resentralisasi dan militeristik,"" kata Iqbal.   "
Anggota DPR dorong penerapan konsep mudik ramah keluarga,https://www.alinea.id/peristiwa/anggota-dpr-dorong-penerapan-konsep-mudik-ramah-keluarga-b2nkA9RuM,"Anggota Komisi VIII Dewan Perwakilan Rakyat (DPR), Selly Andriany Gantina, mendorong penerapan konsep mudik ramah keluarga guna menciptakan perjalanan yang lebih aman, nyaman, dan sehat bagi seluruh pemudik. Lantaran, tradisi mudik lebaran selalu menjadi momen yang dinanti masyarakat Indonesia. Namun, perjalanan panjang dan kepadatan arus mudik kerap menjadi tantangan, terutama bagi kelompok rentan seperti anak-anak, ibu hamil, dan lansia.  “Maka penting sekali kita menerapkan mudik yang ramah keluarga,” ujar Selly dalam keterangan, di Jakarta, Kamis (27/3). Selly menekankan konsep mudik ramah keluarga dapat terwujud melalui perbaikan fasilitas transportasi dan infrastruktur pendukung. Ia mendorong penyediaan arena bermain untuk anak, ruang menyusui, serta fasilitas khusus di moda transportasi umum seperti bus, kereta api, dan kapal laut. Dengan begitu, perjalanan tidak terasa membebani bagi keluarga yang membawa anak-anak. Selain itu, terminal, stasiun, dan rest area juga perlu memiliki fasilitas yang lebih layak, mulai dari toilet yang bersih, ruang ganti popok, hingga posko kesehatan yang siap siaga menangani kondisi darurat. Menurut Selly, kenyamanan ini sangat penting agar perjalanan mudik bisa lebih lancar dan menyenangkan bagi semua pihak. Selly juga menyoroti pentingnya peran petugas angkutan umum dalam memberikan bantuan kepada pemudik, khususnya ibu-ibu yang bepergian sendiri dengan anak-anak. Ia berharap petugas dapat lebih sigap membantu, seperti dengan membantu membawa barang-barang mereka. “Seringkali kita dapati ada ibu-ibu yang mudik dengan anaknya tanpa didampingi suami atau keluarga. Penting bagi petugas angkutan massal untuk bisa memberikan bantuan,” ungkapnya. Salah satu tujuan utama dari konsep mudik ramah keluarga adalah mengurangi risiko kecelakaan lalu lintas. Data dari Korps Lalu Lintas (Korlantas) Polri menunjukkan pada musim mudik Lebaran 2024, mayoritas kecelakaan melibatkan pengguna sepeda motor (73%), diikuti oleh bus (12%), angkutan barang (10%), dan mobil pribadi (2%). Untuk mengatasi hal ini, Selly mendorong pemerintah agar lebih ketat dalam penerapan aturan lalu lintas, menyediakan rambu-rambu yang jelas, serta meningkatkan pengawasan di jalur-jalur mudik. Menurutnya, penyediaan fasilitas istirahat yang memadai bagi pemudik, terutama lansia dan anak-anak, juga dapat membantu mengurangi kelelahan dan menekan risiko kecelakaan. Selain perbaikan infrastruktur, kata Legislator dari Dapil Jawa Barat VIII tersebut, edukasi keselamatan berkendara juga menjadi aspek penting dalam menciptakan mudik yang aman. Selly menekankan perlunya sosialisasi tentang pentingnya istirahat secara berkala, penggunaan sabuk pengaman bagi semua penumpang, serta penerapan prinsip berkendara dengan aman. “Sosialisasikan juga secara masif prinsip berkendara dengan aman kepada pemudik, termasuk penggunaan safety belt untuk semua penumpangnya, baik orang dewasa maupun anak-anak,” lanjutnya. Selly menegaskan evaluasi dan perbaikan kebijakan mudik harus dilakukan setiap tahun. Ia mendorong pemerintah untuk terus mendengarkan masukan dari masyarakat agar infrastruktur dan layanan mudik semakin baik ke depannya. “Dengan perencanaan yang matang dan kerja sama semua pihak, diharapkan tradisi mudik dapat berlangsung lebih aman, nyaman, dan menyenangkan bagi seluruh masyarakat, terutama bagi ibu dan anak-anak yang membutuhkan perhatian lebih selama perjalanan,” tuturnya. Melalui penerapan konsep mudik ramah keluarga, diharapkan perjalanan pulang kampung saat Idulfitri tahun ini menjadi lebih tertata, nyaman, dan aman bagi seluruh pemudik."
Remisi lebaran: Kesempatan kedua bagi warga binaan untuk hidup lebih baik,https://www.alinea.id/peristiwa/remisi-lebaran-kesempatan-kedua-bagi-warga-binaan-b2nkA9RuL,"Menjelang Idulfitri 1446 H, ribuan warga binaan di berbagai lembaga pemasyarakatan (lapas) dan rumah tahanan (rutan) diusulkan mendapatkan remisi khusus lebaran. Kebijakan ini tidak hanya memberikan kebahagiaan bagi mereka yang telah menunjukkan perubahan positif, tetapi juga menjadi bukti kesempatan kedua selalu ada bagi siapa pun yang ingin memperbaiki diri. Anggota Komisi XIII DPR, Meity Rahmatia, menyambut baik langkah Direktorat Jenderal Pemasyarakatan (Ditjenpas) yang rutin memberikan remisi setiap bulan ramadan. Remisi bukan sekadar pengurangan masa tahanan, tetapi juga menjadi motivasi bagi warga binaan untuk terus memperbaiki diri dan menjadi pribadi yang lebih baik. “Bulan suci ini adalah waktu yang tepat untuk introspeksi. Allah membuka pintu ampunan selebar-lebarnya dan melipatgandakan pahala. Ini adalah kesempatan bagi warga binaan untuk bertekad menjalani kehidupan yang lebih baik di masa depan,” ujar Meity dalam keterangannya di Jakarta, Kamis (27/3). Mengurangi overkapasitas, meningkatkan pembinaan Di samping memberikan harapan bagi warga binaan, kebijakan remisi juga berdampak positif bagi pengelolaan lapas dan rutan. Dengan jumlah penghuni yang berkurang, pihak pemasyarakatan dapat lebih fokus dalam pembinaan dan rehabilitasi, memastikan setiap warga binaan memiliki kesempatan untuk berkembang dan kembali ke masyarakat dengan bekal yang lebih baik. Data menunjukkan Jawa Timur menjadi daerah dengan jumlah usulan remisi terbesar, mencapai 15.860 warga binaan. Sementara itu, di Aceh, lebih dari 5.000 warga binaan juga diusulkan mendapat remisi, mayoritas berasal dari kasus narkoba. “Ini menjadi angin segar bagi pengelola lapas, karena dengan berkurangnya jumlah warga binaan, program pembinaan dapat berjalan lebih efektif,” tambah Meity."
"Serangan penusukan di Amsterdam, 5 orang terluka, termasuk 2 warga Amerika",https://www.alinea.id/peristiwa/serangan-penusukan-di-amsterdam-lukai-5-orang-b2nkB9RuO,"Seorang penyerang bersenjata pisau di Amsterdam melukai lima orang dengan serius, Kamis (27/3). Korban termasuk dua orang dari Amerika Serikat, satu orang dari Belgia, dan satu orang dari Polandia. Menurut polisi Belanda, serangan penusukan terjadi di sebuah jalan perbelanjaan yang ramai.  Serangan itu terjadi sekitar pukul 3:30 sore waktu setempat dan berlangsung beberapa menit sebelum penyerang dihentikan oleh seorang pejalan kaki di dekat Dam Square kota itu. Polisi menutup area tersebut dan beberapa ambulans serta helikopter trauma dipanggil ke tempat kejadian. Pihak berwenang mengatakan dalam sebuah pernyataan bahwa belum ada motif yang ditetapkan untuk serangan itu, tetapi polisi sedang mempertimbangkan skenario di mana pria itu menargetkan korban secara acak. ""Tersangka ditahan dengan bantuan seorang warga sipil,"" kata juru bicara polisi Eline Roovers kepada The Associated Press. Identitas tersangka masih diselidiki, kata polisi. Tersangka pria itu melukai kakinya ketika dia dikalahkan oleh seorang pengamat dan dibawa ke rumah sakit. Para korban diidentifikasi sebagai seorang wanita berusia 67 tahun dan seorang pria berusia 69 tahun dari Amerika Serikat, seorang wanita berusia 73 tahun dari Belgia, seorang pria berusia 26 tahun dari Polandia, dan seorang wanita Belanda berusia 19 tahun dari Amsterdam. ""Penyelidikan polisi sedang berlangsung dan menjadi prioritas utama saat ini. Kami berharap segera mendapatkan kejelasan tentang latar belakang penusukan yang mengerikan ini,"" kata Wali Kota Amsterdam Femke Halsema dalam sebuah pernyataan.  ""Kami turut berduka cita kepada para korban, keluarga mereka, dan orang-orang terkasih,"" imbuhnya. Tahun lalu, kota tersebut mengalami beberapa penusukan yang dikaitkan dengan orang-orang dengan masalah kesehatan mental. Amsterdam menyiapkan saluran telepon khusus bulan lalu bagi warga untuk melaporkan kekhawatiran tentang perilaku tidak rasional. Mekanisme pelaporan direkomendasikan setelah penyelidikan menunjukkan bahwa seorang pria ditikam hingga tewas oleh tetangganya.(cbsnews)"
"Balita ungkap ada monster, ternyata seorang pria menyusup ke dalam kamar",https://www.alinea.id/peristiwa/balita-ungkap-ada-monster-ternyata-seorang-pria-menyusup-b2nkB9RuR,"Anak-anak kecil sering mengeluh tentang monster di malam hari yang membuat mereka terjaga, tetapi bagi seorang anak  Amerika yang malang, ketakutan mereka tentang pengunjung yang tidak diundang menjadi kenyataan. Saat menidurkan anak di rumah mereka di kota Great Bend, Kansas, seorang pengasuh anak diberi tahu oleh anak itu bahwa ada ""monster"" yang bersembunyi di kamar. Untuk meyakinkan mereka bahwa tidak ada yang perlu dikhawatirkan, dia melihat ke bawah tempat tidur, tetapi ""berhadapan langsung"" dengan seorang pria yang bersembunyi di sana, kata Kantor Sheriff Barton County. ""Terjadi pertengkaran dengan pengasuh anak dan seorang anak terjatuh dalam perkelahian itu. Tersangka kemudian melarikan diri dari tempat kejadian sebelum petugas tiba,"" kata kantor sheriff. Pria berusia 27 tahun itu kemudian melarikan diri dari rumah sebelum ditemukan dan ditangkap oleh petugas penegak hukum di lingkungan yang sama pada hari Selasa. Pihak berwenang mengatakan pria itu, yang diidentifikasi sebagai Martin Villalobos Junior, pernah tinggal di properti itu dan memiliki perintah perlindungan dari kekerasan untuk menjauh dari rumah itu. Dia menghadapi dakwaan termasuk penculikan dan membahayakan anak. Dia ditahan di penjara dengan jaminan sebesar US$500.000.(9news)"
Cak Imin lepas 1.000 pemudik gratis,https://www.alinea.id/peristiwa/cak-imin-lepas-1000-pemudik-gratis-b2nk89Ru2,"Ketua Umum Partai Kebangkitan Bangsa (PKB) Muhaimin Iskandar atau Cak Imin, resmi melepas 20 bus Mudik Gratis PKB 2025 dari halaman DPP PKB, Jakarta Pusat, Rabu (26/3). Program ini mengangkut 1.000 pemudik menuju kampung halaman di Demak, Semarang, Yogyakarta, Klaten, dan Surabaya. Sebelum keberangkatan, Cak Imin meninjau bus yang berjajar rapi dan melakukan pelepasan simbolis dengan mengibarkan bendera PKB. Ia berharap program ini bisa membantu masyarakat mudik lebih lancar, sehat, dan membahagiakan. “Harapannya dengan mudik gratis ini, perjalanan lebih mudah, lancar, sehat, dan penuh kebahagiaan,” kata Cak Imin sebelum memberangkatkan para pemudik, di DPP PKB, Rabu (26/3). Ia juga berharap para pemudik dapat menikmati perjalanan menuju kampung halaman. Tidak ketinggalan ia mengingatkan para pemudik bisa memberdayakan usaha mikro, kecil, dan menengah (UMKM). Caranya, kata Cak Imin, dengan berbelanja produk lokal yang ada di kampung halaman para pemudik. “Tabungan jangan dihabiskan di kota, bawa ke kampung, belanjakan di UMKM setempat,” pesannya. Ia mengingatkan, agar ketika kembali ke Jakarta, para pemudik tidak membawa sanak saudara maupun keluarga secara sembarangan. Lantaran, Jakarta sudah terlalu penuh. Menurutnya, lebih baik jika mengajak keluarga yang punya keterampilan untuk membangun ibu kota. Bahkan, sudah punya pekerjaan di Jakarta, agar beban ibu kota tidak semakin menumpuk. “Jakarta sudah penuh! Balik nanti jangan bawa keluarga yang tidak punya skill,” ujar Cak Imin."
17 stadion berstandar internasional resmi berdiri untuk sepak bola Indonesia,https://www.alinea.id/peristiwa/17-stadion-berstandar-internasional-resmi-berdiri-b2nk89Ruw,"Presiden Prabowo Subianto kembali membuktikan komitmennya dalam membangun sepak bola Indonesia. Sebanyak 17 stadion berstandar internasional telah diresmikan secara simbolis di Stadion Gelora Delta Sidoarjo, Jawa Timur. Langkah ini menjadi wujud nyata dari janji presiden kepada masyarakat untuk menyediakan fasilitas olahraga terbaik, guna mendukung perkembangan sepak bola nasional. Juru Bicara Kantor Komunikasi Kepresidenan, Hariqo Satria Wibawa, menyebutkan langkah ini sebagai “goal kick” dari Presiden Prabowo di awal pemerintahannya. “Beberapa bulan yang lalu, Presiden Prabowo berjanji kepada pengurus PSSI (Persatuan Sepak Bola Seluruh Indonesia) untuk menyiapkan fasilitas latihan terbaik bagi pemain sepak bola Indonesia. Kini, janji itu telah ditunaikan dengan menghadirkan 17 stadion yang telah lulus inspeksi FIFA dan memenuhi standar internasional,” ujar Hariqo dalam keterangan, Rabu (26/3). Mimpi besar: Timnas Indonesia di Piala Dunia Hariqo bilang, Prabowo tidak hanya melihat sepak bola sebagai olahraga semata, tetapi juga sebagai lambang harga diri bangsa. Prabowo menyoroti bagaimana negara-negara dengan ekonomi lebih kecil dari Indonesia mampu berbicara banyak di Piala Dunia. Indonesia sendiri pernah merasakan panggung dunia pada Piala Dunia 1938 di Prancis, saat masih bernama Hindia Belanda. Namun, sejak saat itu, Timnas Indonesia belum lagi mencicipi kompetisi tertinggi tersebut. Menyadari tantangan besar yang ada, Prabowo mengambil pendekatan menyeluruh. Tidak hanya membangun infrastruktur, tetapi juga memastikan pengembangan pemain dilakukan dari akar rumput hingga tingkat profesional. Prabowo telah lama terlibat dalam pengembangan sepak bola nasional. Saat masih menjabat sebagai Menteri Pertahanan, dia mendukung pembinaan talenta muda melalui Garudayaksa Football Academy. Akademi ini bahkan menjalin kerja sama dengan Aspire Academy Qatar untuk meningkatkan kualitas scouting, seleksi, hingga sport medicine bagi pemain muda berbakat Indonesia. Langkah lain yang menunjukkan keseriusan Prabowo dalam membangun sepak bola Indonesia adalah kunjungannya ke kantor FIFA di Paris, Prancis, pada Juli 2024. Di sana, ia bertemu langsung dengan Presiden FIFA Gianni Infantino, yang memberikan cenderamata berupa miniatur trofi Piala Dunia dan bola resmi olimpiade yang bertuliskan nama “Prabowo Subianto”. “Seperti yang disampaikan Infantino, bola ini adalah satu-satunya bola resmi olimpiade yang bertuliskan nama presiden,” tutur Hariqo. Sepak bola cerminan semangat bangsa Sementara, Prabowo meyakini olahraga, khususnya sepak bola, adalah cerminan dari semangat dan karakter suatu bangsa. “Sepak bola bukan sekadar pertandingan, tetapi juga simbol kebanggaan dan perjuangan. Hanya dengan fisik dan jiwa yang kuat, suatu bangsa dapat berdiri tegak dan dihormati di dunia,” katanya. Oleh karena itu, dia mengajak seluruh elemen pemerintahan dan parlemen untuk memberikan dukungan penuh kepada PSSI. Mulai dari memperlancar regulasi hingga meningkatkan kualitas fasilitas sepak bola, semua langkah ini bertujuan agar Timnas Indonesia bisa tampil kompetitif di level dunia. Adapun 17 stadion berstandar internasional yang telah diresmikan Prabowo, yakni: Dengan infrastruktur yang semakin memadai dan dukungan penuh dari pemerintah, harapan agar Timnas Indonesia kembali berlaga di Piala Dunia bukan lagi sekadar mimpi. Ini adalah langkah awal menuju masa depan cerah sepak bola nasional. “Dari stadion-stadion ini, akan lahir generasi emas sepak bola Indonesia yang siap mengharumkan nama bangsa di kancah dunia,” katanya. "
"Genosida berlanjut, serangan Israel di Gaza menewaskan 12 warga",https://www.alinea.id/peristiwa/genosida-berlanjut-serangan-israel-di-gaza-menewaskan-12-b2nk89Ru0,"12 warga Palestina, termasuk enam anak-anak, tewas dalam serangan Israel pada Rabu dini hari. Serangan itu menargetkan rumah-rumah dan kelompok-kelompok warga sipil di seluruh Jalur Gaza yang hancur akibat perang. Serangan ini menandangan bahwa genosida Israel terus berlanjut. Di wilayah utara Gaza, delapan warga Palestina, termasuk enam anak-anak, tewas dalam serangan udara Israel di sebuah rumah keluarga Al-Najjar, menurut sumber medis. Dua warga Palestina lainnya, seorang ayah dan putranya, tewas dalam serangan udara Israel di sebuah apartemen di kamp pengungsi Bureij, Jalur Gaza bagian tengah, sumber medis juga mengatakan kepada Anadolu. Operasi penyelamatan terus berlanjut di daerah tersebut untuk mencari orang-orang hilang lainnya, menurut para saksi. Di Jalur Gaza bagian selatan, sumber medis mengatakan kepada Anadolu bahwa dua warga Palestina tewas, termasuk seorang wanita, dalam serangan Israel terhadap sekelompok warga sipil di kota Khan Younis. Serangan hari Rabu terjadi saat Israel terus menutup jalur penyeberangan Gaza untuk bantuan kemanusiaan sejak awal Maret, yang menyebabkan kekurangan pasokan makanan yang parah di wilayah yang dilanda perang itu. Tentara Israel melancarkan operasi udara mendadak di Jalur Gaza pada 18 Maret, menewaskan hampir 800 orang dan melukai lebih dari 1.600 lainnya meskipun ada gencatan senjata dan perjanjian pertukaran tahanan yang berlaku pada bulan Januari. Lebih dari 50.100 warga Palestina telah tewas, sebagian besar wanita dan anak-anak, dan lebih dari 113.700 orang terluka dalam serangan militer Israel yang brutal di Gaza sejak Oktober 2023. Pengadilan Kriminal Internasional mengeluarkan surat perintah penangkapan November lalu untuk Perdana Menteri Israel Benjamin Netanyahu dan mantan Menteri Pertahanannya Yoav Gallant atas kejahatan perang dan kejahatan terhadap kemanusiaan di Gaza. Israel juga menghadapi kasus genosida di Mahkamah Internasional atas perangnya di daerah kantong itu. (aa)"
